DATE,PRCP,NROWS,MULT
1950,6003,365,1.0
1951,4285,365,0.7138097617857738
1952,7810,366,1.822637106184364
1953,5436,365,0.6960307298335467
1954,6758,365,1.2431935246504784
1955,5089,365,0.7530334418467002
1956,6439,366,1.265278050697583
1957,7246,365,1.1253300201894705
1958,7284,365,1.0052442727021804
1959,5244,365,0.7199341021416804
1960,8619,366,1.6435926773455378
1961,6937,365,0.804849750551108
1962,6358,365,0.9165345250108116
1963,5040,365,0.7927021075810003
1964,4093,366,0.8121031746031746
1965,7467,365,1.8243342291717566
1966,6492,365,0.8694254720771394
1967,7447,365,1.1471041281577325
1968,6964,366,0.9351416677856855
1969,6099,365,0.8757897759908099
1970,5965,365,0.9780291851123135
1971,4913,365,0.8236378876781224
1972,5546,366,1.1288418481579483
1973,5860,365,1.0566173818968625
1974,7754,365,1.3232081911262799
1975,5204,365,0.6711374774310034
1976,5824,366,1.1191391237509607
1977,7581,365,1.3016826923076923
1978,5919,365,0.7807677087455481
1979,6200,365,1.0474742355127555
1980,7484,366,1.2070967741935483
1981,8261,365,1.103821485836451
1982,5172,365,0.6260743251422346
1983,6125,365,1.184261407579273
1984,7671,366,1.2524081632653061
1985,6192,365,0.8071959327336723
1986,7438,365,1.2012273901808785
1987,6473,365,0.8702608228018285
1988,6253,366,0.9660126680055615
1989,5567,365,0.8902926595234287
1990,7492,365,1.3457876773845878
1991,7757,365,1.035371062466631
1992,6783,366,0.8744359932963774
1993,5401,365,0.7962553442429603
1994,6968,365,1.290131457137567
1995,4835,365,0.693886337543054
1996,4648,366,0.9613236814891417
1997,4658,304,1.0021514629948365
1998,2164,122,0.4645770717045942
1999,6000,365,2.7726432532347505
2000,6687,366,1.1145
2001,7574,365,1.1326454314341259
2002,4879,365,0.6441774491682071
2003,5896,365,1.2084443533510965
2004,5341,366,0.9058683853459973
2005,5275,365,0.9876427635274293
2006,4636,365,0.8788625592417062
2007,6066,365,1.3084555651423642
2008,8226,366,1.3560830860534125
2009,6632,365,0.8062241672744955
2010,6665,365,1.0049758745476478
2011,5554,365,0.8333083270817705
2012,9508,366,1.711919337414476
2013,5283,365,0.5556373580143037
2014,6878,365,1.3019117925421162
2015,6998,365,1.0174469322477464
2016,6183,366,0.8835381537582166
2017,6498,365,1.0509461426491995
2018,4783,365,0.7360726377346876
2019,8911,365,1.8630566590006272
2020,6161,366,0.6913926607563685
