DATE,PRCP,TMAX,NROWS,MULT
1950,4333.0,,122,1.0
1951,9768.0,,365,2.2543272559427647
1952,11894.0,,366,1.2176494676494676
1953,11160.0,,365,0.9382882125441399
1954,9091.0,,365,0.8146057347670251
1955,9220.0,,365,1.014189858101419
1956,8422.0,,366,0.9134490238611713
1957,11307.0,,365,1.3425552125385893
1958,10149.0,,365,0.8975855664632528
1959,9709.0,,365,0.9566459749729037
1960,9765.0,,366,1.0057678442682048
1961,12518.0,,365,1.281925243215566
1962,11075.0,,365,0.8847259945678223
1963,7701.0,,334,0.6953498871331828
1964,8374.0,,366,1.0873912478898844
1965,7861.0,,365,0.9387389539049439
1966,9797.0,,364,1.2462790993512276
1967,8400.0,,365,0.8574053281616821
1968,8761.0,,335,1.0429761904761905
1969,8557.0,,365,0.9767149868736446
1970,9440.0,,365,1.103190370456936
1971,13123.0,-178.0,365,1.3901483050847459
1972,16460.0,,366,1.254286367446468
1973,12066.0,,365,0.7330498177399757
1974,10631.0,,365,0.881070777391016
1975,13104.0,,365,1.2326215784027843
1976,10835.0,,366,0.8268467643467643
1977,8854.0,,365,0.8171665897554222
1978,11044.0,,365,1.2473458323921391
1979,13067.0,,365,1.1831763853676205
1980,7758.0,,366,0.5937093441493839
1981,9498.0,,365,1.2242846094354216
1982,10068.0,,365,1.0600126342387872
1983,12711.0,,361,1.2625148986889154
1984,11254.0,,366,0.8853748721579734
1985,11391.0,,365,1.012173449440199
1986,6592.0,,365,0.5787024844175226
1987,12473.0,,364,1.8921419902912622
1988,8128.0,,366,0.65164755872685
1989,14791.0,,365,1.8197588582677164
1990,12866.0,,365,0.8698532891623284
1991,8676.0,,365,0.6743354577957407
1992,12536.0,,366,1.4449054863992623
1993,12386.0,,365,0.9880344607530313
1994,9319.0,,335,0.75238172129824
1995,12684.0,,365,1.3610902457345209
1996,15412.0,,366,1.2150741091138442
1997,9574.0,,365,0.621204256423566
1998,11180.0,,365,1.1677459786922917
1999,10491.0,,365,0.9383720930232559
2000,8999.0,,366,0.8577828615003337
2001,9078.0,,365,1.0087787531947994
2002,10092.0,,365,1.1116986120290813
2003,17037.0,,365,1.6881688466111773
2004,9101.0,,305,0.5341902917180255
2005,8386.0,,306,0.9214372047027799
2006,11628.0,,365,1.3865967088003817
2007,8974.0,,365,0.7717578259373925
2008,10423.0,,366,1.1614664586583463
2009,12875.0,,365,1.2352489686270747
2010,10349.0,,365,0.8038058252427185
2011,11323.0,,365,1.0941153734660354
2012,9021.0,,366,0.796696988430628
2013,12502.0,,365,1.3858773971843477
2014,10515.0,,365,0.8410654295312749
2015,12241.0,,365,1.16414645744175
2016,12241.0,,366,1.0
2017,9422.0,,365,0.7697083571603627
2018,16235.0,,365,1.7230948843133094
2019,11659.0,,365,0.7181398213735756
2020,19427.0,,366,1.6662664036366754
