DATE,PRCP,TMIN,NROWS,MULT
1950,9877.0,,365,1.0
1951,10770.0,,365,1.0904120684418346
1952,9657.0,,364,0.8966573816155989
1953,10795.0,,365,1.1178419799109454
1954,13418.0,,365,1.242982862436313
1955,9562.0,,365,0.712624832314801
1956,9656.0,,366,1.0098305793766995
1957,9669.0,,364,1.0013463131731566
1958,8427.0,,304,0.8715482469748681
1959,11174.0,,365,1.3259760294292156
1960,10448.0,,366,0.9350277429747629
1961,9369.0,,364,0.8967266462480857
1962,9134.0,,365,0.9749172803927847
1963,7976.0,,364,0.8732209327786293
1964,8847.0,,366,1.1092026078234705
1965,8881.0,,365,1.0038431106589805
1966,9769.0,,365,1.099988740006756
1967,7955.0,,352,0.8143105742655339
1968,7838.0,134.47368421052633,295,0.9852922690131992
1969,6519.0,,293,0.8317172748150038
1970,8156.0,,333,1.251112133762847
1971,10083.0,,365,1.2362677783227072
1972,12274.0,,366,1.2172964395517207
1973,12354.0,,365,1.0065178425941013
1974,12610.0,,365,1.0207220333495224
1975,12325.0,,365,0.9773988897700238
1976,14855.0,,366,1.2052738336713995
1977,11987.0,,365,0.8069336923594749
1978,10366.0,,365,0.8647701676816552
1979,11198.0,,365,1.0802623962955817
1980,9327.0,,366,0.8329165922486158
1981,14884.0,,365,1.5957971480647581
1982,8924.0,,365,0.5995700080623488
1983,14207.0,,365,1.591999103541013
1984,10851.0,,366,0.7637784190891814
1985,10621.0,,365,0.9788037968850797
1986,10996.0,,365,1.0353074098484136
1987,11754.0,,365,1.068934157875591
1988,9280.0,,366,0.7895184618002382
1989,10909.0,,365,1.1755387931034482
1990,13979.0,,365,1.2814190118250985
1991,10156.0,,365,0.7265183489519994
1992,9745.0,,353,0.9595313115399764
1993,9611.0,,365,0.9862493586454593
1994,12752.0,,365,1.3268130267401936
1995,10172.0,,365,0.7976787954830615
1996,13967.0,,366,1.373082972866693
1997,9460.0,,365,0.6773108040380897
1998,11483.0,,365,1.21384778012685
1999,10347.0,,365,0.9010711486545327
2000,12664.0,,366,1.2239296414419638
2001,8587.0,,365,0.6780638029058749
2002,11518.0,,365,1.3413299173168745
2003,12769.0,,365,1.10861260635527
2004,11429.0,,366,0.8950583444279113
2005,13262.0,,365,1.1603814856942865
2006,12253.0,,365,0.9239179610918413
2007,12418.0,,365,1.0134660899371581
2008,14704.0,,366,1.1840876147527781
2009,13590.0,,365,0.9242383025027203
2010,13815.0,,365,1.0165562913907285
2011,13871.0,,365,1.004053564965617
2012,10921.0,,365,0.7873260759858698
2013,11036.0,,365,1.0105301712297408
2014,12215.0,,365,1.1068321855744836
2015,9936.0,,335,0.8134261154318461
2016,10763.0,,366,1.08323268921095
2017,10814.0,,365,1.0047384558208678
2018,12151.0,,365,1.1236360273719253
2019,13228.0,,365,1.0886346802732285
2020,8898.0,,366,0.6726640459631086
