DATE,PRCP,TMAX,NROWS,MULT
1950,6335.0,,365,1.0
1951,8709.0,,365,1.3747434885556433
1952,7910.0,,366,0.9082558273050867
1953,5004.0,,334,0.6326169405815424
1954,6979.0,,365,1.3946842525979217
1955,3306.0,,364,0.4737068347900845
1956,4845.0,,366,1.4655172413793103
1957,9290.0,,365,1.9174406604747163
1958,6146.0,,365,0.6615715823466093
1959,7448.0,,365,1.2118451025056947
1960,6471.0,,365,0.8688238453276047
1961,7188.0,,365,1.11080203987019
1962,6413.0,,365,0.8921814134668893
1963,6269.0,,365,0.9775456104787151
1964,6249.0,,366,0.9968096985165098
1965,8286.0,,365,1.3259721555448871
1966,3923.0,,364,0.4734491914071929
1967,7357.0,,365,1.87535049706857
1968,7097.0,,366,0.9646595079516107
1969,8219.0,,365,1.1580949697055094
1970,5603.0,,365,0.6817131037839154
1971,5495.0,,365,0.9807246118150991
1972,6804.0,,366,1.238216560509554
1973,9692.0,,365,1.42445620223398
1974,3900.0,,365,0.4023937267849773
1975,6095.0,,365,1.5628205128205128
1976,4406.0,,335,0.7228876127973749
1977,7805.0,,365,1.7714480254198819
1978,5617.0,,365,0.7196668802049968
1979,6100.0,,365,1.0859889620794019
1980,5422.0,,366,0.8888524590163934
1981,6798.0,,365,1.2537808926595353
1982,9279.0,,364,1.3649602824360105
1983,8365.0,,364,0.9014980062506736
1984,9219.0,,364,1.102092050209205
1985,7691.0,,362,0.8342553422280073
1986,8098.0,,364,1.052918996229359
1987,7299.0,,365,0.9013336626327488
1988,4956.0,,349,0.6789971228935471
1989,5682.0,,365,1.1464891041162228
1990,6728.0,,365,1.1840901091165084
1991,6468.0,,364,0.9613555291319857
1992,9430.0,,366,1.4579468150896722
1993,8836.0,,272,0.9370095440084836
1994,6362.0,,365,0.7200090538705296
1995,5492.0,,365,0.8632505501414649
1996,8169.0,,366,1.4874362709395483
1997,7025.0,,365,0.8599583792385849
1998,7669.0,,365,1.0916725978647688
1999,7848.0,,365,1.0233407223888382
2000,6209.0,,366,0.7911569826707442
2001,6173.0,,362,0.9942019648896763
2002,5829.0,,365,0.9442734488903288
2003,6605.0,,365,1.1331274661176873
2004,6566.0,,366,0.9940953822861469
2005,6443.0,,365,0.9812671337191593
2006,7448.0,,365,1.1559832376222257
2007,9055.0,,364,1.2157626208378087
2008,10262.0,,366,1.133296521258973
2009,6613.0,,365,0.6444162931202495
2010,6845.0,,365,1.0350824134280963
2011,7586.0,,365,1.108254200146092
2012,4466.0,,366,0.5887160558924335
2013,7406.0,,365,1.658307210031348
2014,8475.0,,365,1.1443424250607614
2015,10151.0,,365,1.1977581120943952
2016,7160.0,,365,0.7053492266771747
2017,8470.0,,365,1.1829608938547487
2018,8528.0,,365,1.0068476977567886
2019,9192.0,,365,1.077861163227017
2020,6058.0,,366,0.6590513489991296
