DATE,PRCP,NROWS,MULT
2000,9867.0,366,1.0
2001,10295.0,365,1.0433769129421304
2002,8236.0,365,0.8
2003,6397.0,365,0.7767119961146187
2004,10247.0,366,1.6018446146631233
2005,8239.0,365,0.8040402068898214
2006,7665.0,365,0.9303313508920985
2007,9067.0,365,1.1829093281148075
2008,7319.0,366,0.8072129701113929
2009,8075.0,365,1.1032927995627817
2010,8613.0,365,1.066625386996904
2011,8367.0,365,0.9714385231626611
2012,7934.0,366,0.948249073742082
2013,7951.0,365,1.0021426770859592
2014,8185.0,365,1.0294302603446108
2015,10551.0,365,1.2890653634697617
2016,7644.0,366,0.724481091839636
2017,8931.0,365,1.1683673469387754
2018,6409.0,365,0.7176128093158661
2019,8039.0,365,1.2543298486503354
2020,8436.0,366,1.0493842517726086
2021,7163.0,346,0.8490990990990991
2022,7614.0,365,1.0629624459025548
2023,11981.0,365,1.5735487260309955
