DATE,PRCP,NROWS
1980,22830,366
1981,22767,365
1982,23816,322
1983,21026,318
1984,22425,338
1985,24536,358
1986,23627,365
1987,16388,365
1988,23936,335
1989,27505,365
1990,21942,364
1991,16960,365
1992,20246,366
1993,22756,365
1994,19688,365
1995,20371,365
1996,24038,366
1997,31735,363
1998,12741,365
1999,38476,365
2000,37501,366
2001,21141,365
2002,18853,365
2003,18864,365
2004,15731,366
2005,15169,365
2006,18236,365
2007,26162,364
2008,33801,366
2009,30406,365
2010,16436,365
2011,32387,365
2012,39568,366
2013,23427,365
2014,21096,364
2015,13097,364
2016,16896,355
2017,18010,359
2018,23336,363
2019,18013,365
2020,21954,365
2021,32245,360
2022,37852,355
