DATE,PRCP,NROWS
1985,524,24
1986,19466,365
1987,6240,273
1988,6144,184
1989,19121,365
1990,22236,365
1991,16980,365
1992,18611,366
1993,11064,365
1994,19976,365
1995,20855,365
1996,21730,366
1997,19914,365
1998,9856,365
1999,2734,31
2000,2427,31
2001,21414,365
2002,18693,334
2003,14412,365
2004,21158,366
2005,25026,365
2006,15636,365
2007,24437,365
2008,22117,366
2009,16247,365
2010,22543,365
2011,22857,356
2012,11720,366
2013,26840,365
2014,18650,365
2015,11910,365
2016,1280,50
2017,7825,76
2018,26260,365
2019,26035,365
2020,23010,366
2021,21480,365
2022,19310,249
