DATE,PRCP,NROWS
1965,4991,365
1966,5734,365
1967,6175,365
1968,5156,366
1969,5227,365
1970,6159,365
1971,5010,365
1972,5253,366
1973,5656,365
1974,7024,365
1975,4836,365
1976,4568,366
1977,6883,365
1978,4558,365
1979,6693,365
1980,6350,366
1981,7198,365
1982,5041,365
1983,6187,365
1984,6843,366
1985,6149,365
1986,6463,365
1987,6879,365
1988,6725,366
1989,5877,365
1990,6045,365
1991,6113,365
1992,6085,366
1993,5653,365
1994,5594,365
1995,5551,365
1996,5955,366
1997,5581,365
1998,6245,365
1999,5362,365
2000,6507,366
2001,6145,365
2002,5879,365
2003,6603,365
2004,7010,366
2005,5849,365
2006,5982,365
2007,6785,365
2008,8106,366
2009,5459,365
2010,5380,365
2011,7136,365
2012,7697,366
2013,6682,365
2014,6089,365
2015,6290,365
2016,5875,366
2017,6881,365
2018,5370,365
2019,6600,365
2020,6760,366
2021,6479,365
2022,6169,365
2023,6497,364
2024,3834,230
