DATE,PRCP,NROWS
1980,19216,366
1981,18864,365
1982,19769,365
1983,13181,365
1984,16063,366
1985,16589,365
1986,15304,365
1987,8691,222
1988,9633,198
1989,21046,365
1990,17387,365
1991,11435,365
1992,9424,366
1993,11187,365
1994,9329,365
1995,9079,365
1996,20929,366
1997,19730,365
1998,8815,365
1999,16679,287
2001,4520,211
2002,14110,333
2003,9766,365
2004,11104,366
2005,17967,365
2006,12691,365
2007,18458,365
2008,16366,366
2009,20953,365
2010,16500,365
2011,21131,304
2012,27752,366
2013,22260,365
2014,11350,365
2015,9617,365
2016,9355,337
2017,4285,151
2018,20515,365
2019,17485,365
2020,16920,352
2021,3985,126
2022,22870,353
