DATE,PRCP,TMAX,NROWS
1750,864.0,,69
1965,4384.0,,306
1966,5434.0,,365
1967,2550.0,,365
1968,5441.0,,365
1969,5037.0,,365
1970,5510.0,,365
1971,5855.0,,365
1972,4269.0,,365
1973,8858.0,,365
1974,8027.0,,365
1975,6192.0,,365
1976,3683.0,,366
1977,3521.0,,365
1978,6483.0,,365
1979,5494.0,,363
1980,5152.0,,366
1981,5702.0,,365
1982,1978.0,,363
1983,6966.0,,365
1984,5223.0,,366
1985,5184.0,,365
1986,5896.0,,365
1987,5508.0,,365
1988,6165.0,,362
1989,6312.0,,365
1990,4503.0,,365
1991,4439.0,,363
1992,7206.0,,366
1993,6990.0,,365
1994,2582.0,,365
1995,5324.0,,365
1996,6846.0,,366
1997,3890.0,,365
1998,5034.0,,365
1999,5394.0,,365
2000,5971.0,,366
2001,3968.0,,363
2002,3089.0,,341
2003,5177.0,,365
2004,4100.0,,366
2005,4584.0,,365
2006,3403.0,,365
2007,4563.0,23.11111111111111,365
2008,3607.0,,366
2009,3982.0,,365
2010,9294.0,,341
2011,7148.0,,238
2012,4052.0,,120
2013,4490.0,,216
2014,3094.0,,145
2015,3180.0,,306
2016,4283.0,,140
2017,4508.0,,182
2018,3287.0,,204
2019,2344.0,,283
2020,2620.0,,208
2021,5140.0,,348
2022,7304.0,,324
2023,5044.0,,277
