DATE,PRCP,NROWS
1922,3959,276
1923,5695,303
1924,1298,92
1929,4902,299
1930,210,30
1931,4689,246
1932,5714,366
1933,4384,365
1934,5766,365
1935,6475,365
1936,6512,366
1937,5362,365
1938,4323,365
1939,3375,365
1940,990,181
1942,3600,198
1943,5659,364
1945,4118,307
1946,5725,365
1947,3601,365
1948,5902,366
1949,6093,365
1950,6328,365
1951,3928,365
1952,6971,366
1953,5805,365
1954,6430,365
1955,5554,365
1956,6478,366
1957,6891,365
1958,4824,365
1959,4970,365
1960,6792,366
1961,5909,365
1962,5986,365
1963,4752,365
1964,4903,366
1965,6172,365
1966,6395,365
1967,7635,365
1968,5750,366
1969,5112,365
1970,5814,365
1971,6269,365
1972,6379,366
1973,6107,365
1974,6969,365
1975,4613,365
1976,4229,366
1977,6613,365
1978,6406,365
1979,6364,365
1980,7443,366
1981,8269,365
1982,5585,365
1983,5556,365
1984,6644,366
1985,6096,365
1986,6734,365
1987,7195,365
1988,7533,366
1989,5514,365
1990,6237,365
1991,6366,365
1992,7093,366
1993,6502,365
1994,6350,365
1995,6034,365
1996,5006,366
1997,6190,365
1998,6516,365
1999,7391,365
2000,6283,366
2001,7561,365
2002,4729,365
2003,4831,365
2004,6359,366
2005,5345,365
2006,5049,365
2007,8017,365
2008,7515,366
2009,6158,365
2010,6988,365
2011,7732,365
2012,8515,366
2013,5445,365
2014,5427,365
2015,5370,365
2016,4594,366
2017,6577,365
2018,5601,364
2019,6750,365
2020,6092,366
2021,5595,365
2022,5694,365
2023,6066,335
2024,2388,213
