DATE,PRCP,TMIN,NROWS
1921,13124.0,,365
1922,9520.0,,365
1923,10888.0,,365
1924,8862.0,,366
1925,9629.0,,364
1926,10141.0,,365
1927,12928.0,,365
1928,10330.0,,366
1929,13516.0,,365
1930,7692.0,,365
1931,11140.0,,365
1932,12226.0,,366
1933,11247.0,,365
1934,8782.0,,365
1935,10425.0,,365
1936,8183.0,,366
1937,14210.0,,365
1938,8614.0,,365
1939,10750.0,,365
1940,8684.0,,366
1941,8060.0,,365
1942,11711.0,,365
1943,9816.0,,365
1944,9399.0,,366
1945,15177.0,,365
1946,9964.0,,365
1947,11338.0,,365
1948,13021.0,,366
1949,13437.0,,365
1950,14404.0,,365
1951,11253.0,,364
1952,9180.0,,366
1953,7765.0,,334
1954,7505.0,,365
1955,10698.0,,365
1956,9879.0,,335
1957,14045.0,,365
1958,12931.0,,364
1959,10753.0,,365
1960,9804.0,,366
1961,10938.0,,365
1962,10035.0,,365
1963,7185.0,,365
1964,10068.0,,366
1965,9855.0,,365
1966,10125.0,,365
1967,11329.0,,365
1968,12204.0,,366
1969,10790.0,,365
1970,10176.0,,365
1971,9943.0,,365
1972,13334.0,,366
1973,13115.0,,365
1974,13179.0,,365
1975,14828.0,,365
1976,8345.0,-94.0,366
1977,12304.0,,365
1978,12510.0,,365
1979,15968.0,,365
1980,9259.0,,366
1981,11048.0,,365
1982,9767.0,,299
1983,10628.0,,365
1984,12304.0,,366
1985,12110.0,,364
1986,10514.0,,365
1987,10022.0,,360
1988,7906.0,,314
1989,13542.0,,365
1990,13014.0,,364
1991,8830.0,,365
1992,9361.0,,366
1993,12796.0,,365
1994,10888.0,,365
1995,11064.0,,365
1996,12915.0,,366
1997,10981.0,,364
1998,11551.0,,365
1999,10381.0,,365
2000,13610.0,,366
2001,10810.0,,365
2002,12676.0,,365
2003,12766.0,,365
2004,13768.0,,366
2005,11834.0,,365
2006,14913.0,,365
2007,10696.0,,365
2008,16822.0,,366
2009,14418.0,,364
2010,10233.0,,365
2011,15704.0,,363
2012,8965.0,,366
2013,13100.0,,357
2014,14732.0,,365
2015,12705.0,,365
2016,14699.0,,366
2017,12579.0,,365
2018,14628.0,,365
2019,16018.0,,364
2020,13205.0,,318
2021,14424.0,,355
2022,13768.0,,364
2023,10827.0,,365
2024,9644.0,,295
