DATE,PRCP,TMAX,NROWS
1979,5270.0,,214
1980,7013.0,-178.0,366
1981,6363.0,,365
1982,11681.0,,365
1983,7730.0,,365
1984,9649.0,,366
1985,7177.0,,365
1986,11952.0,,365
1987,9527.0,,363
1988,4237.0,,340
1989,8483.0,,365
1990,7323.0,,364
1991,10776.0,,365
1992,9066.0,,366
1993,12103.0,,365
1994,7620.0,,365
1995,8321.0,,365
1996,10309.0,,366
1997,6029.0,,365
1998,9347.0,,365
1999,6716.0,,335
2000,5388.0,,336
2001,8610.0,,365
2002,5546.0,,365
2003,6913.0,,337
2004,8505.0,,343
2005,6350.0,,365
2006,9124.0,,365
2007,11435.0,,364
2008,12798.0,,363
2009,9807.0,,365
2010,11074.0,,365
2011,11270.0,,88
2012,7442.0,,65
2013,8383.0,,162
2014,12494.0,,258
2015,11169.0,,327
2016,9520.0,,210
2017,9164.0,,123
2018,9761.0,,149
2019,9912.0,,156
2020,5167.0,,266
2021,7609.0,,365
2022,6133.0,,365
2023,7582.0,,337
2024,7183.0,,204
