DATE,PRCP,TMAX,NROWS
1972,9392.0,,245
1973,15260.0,,365
1974,15666.0,,365
1975,15358.0,,365
1976,12010.0,-139.0,366
1977,9518.0,,365
1978,10354.0,,365
1979,15585.0,,365
1980,10119.0,,366
1981,8514.0,,365
1982,14848.0,,365
1983,12601.0,,365
1984,13594.0,,366
1985,6089.0,,181
1992,15318.0,,366
1993,9120.0,,243
1996,11570.0,,275
1997,6276.0,,184
1998,15605.0,,365
1999,11367.0,,365
2000,12901.0,,366
2001,16316.0,,365
2002,14375.0,,365
2003,14213.0,,365
2004,19110.0,,366
2005,10095.0,,334
2006,14357.0,,365
2007,12096.0,,365
2008,14996.0,,366
2009,15629.0,,365
2010,4165.0,,243
2017,15041.0,,250
2018,18455.0,,365
2019,16213.0,,365
2020,20273.0,,365
2021,11918.0,,355
2022,8977.0,,235
