DATE,PRCP,TMAX,NROWS
1922,1984.0,,153
1923,8436.0,,365
1924,4398.0,,245
1925,6776.0,,334
1926,5202.0,,233
1947,6745.0,444.0,275
1948,7635.0,,366
1949,7695.0,,365
1950,10333.0,,365
1951,11252.0,,365
1952,6144.0,,366
1953,6063.0,,365
1954,7659.0,,365
1955,5227.0,,365
1956,3407.0,,366
1957,8360.0,,365
1958,8431.0,,357
1959,7453.0,,365
1960,7832.0,,366
1961,10092.0,,365
1962,6489.0,,365
1963,7142.0,,365
1964,5666.0,,366
1965,8288.0,,365
1966,6018.0,,365
1967,9286.0,,365
1968,8381.0,,363
1969,7711.0,,365
1970,6879.0,,365
1971,7762.0,,365
1972,8527.0,,366
1973,12148.0,,365
1974,3951.0,,365
1975,7200.0,,365
1976,5698.0,,366
1977,10048.0,,365
1978,8740.0,,365
1979,7791.0,,365
1980,5504.0,,366
1981,7335.0,,365
1982,9489.0,,365
1983,7584.0,,365
1984,8520.0,,366
1985,9222.0,,365
1986,9232.0,,365
1987,9241.0,,365
1988,4141.0,,366
1989,6062.0,,365
1990,7987.0,,365
1991,4850.0,,365
1992,8197.0,,366
1993,12283.0,,365
1994,7862.0,,365
1995,8196.0,,365
1996,8115.0,,366
1997,5217.0,,365
1998,7246.0,,365
1999,5699.0,,365
2000,5715.0,,366
2001,9443.0,,365
2002,5715.0,,365
2003,6786.0,,365
2004,6333.0,,365
2005,8781.0,,365
2006,7828.0,,365
2007,11211.0,,365
2008,8298.0,,366
2009,7977.0,,365
2010,9342.0,,365
2011,7539.0,,295
2012,6604.0,,322
2013,7599.0,,280
2014,5790.0,,335
2015,8703.0,,339
2016,7298.0,,348
2017,6247.0,,326
2018,8191.0,,356
2019,9863.0,,354
2020,6403.0,,357
2021,6274.0,,359
2022,7243.0,,357
2023,5256.0,,361
2024,4831.0,,293
