DATE,PRCP,TMIN,NROWS
1951,788.0,,118
1952,1603.0,,274
1953,3978.0,,305
1954,3484.0,,365
1955,2551.0,67.0,365
1956,2951.0,,366
1957,3450.0,,365
1958,2229.0,,365
1959,3145.0,,364
1960,2414.0,,366
1961,2412.0,,365
1962,4904.0,,365
1963,4929.0,,365
1964,3542.0,,366
1965,3826.0,,365
1966,2763.0,,365
1967,3567.0,,362
1968,2651.0,,363
1969,3187.0,,365
1970,3503.0,,365
1971,5519.0,,365
1972,4694.0,,366
1973,3668.0,,365
1974,2555.0,,365
1975,3606.0,,365
1976,2348.0,,366
1977,3805.0,,365
1978,3910.0,,359
1979,2601.0,,332
1980,1971.0,,366
1981,3017.0,,365
1982,5942.0,,364
1983,2573.0,,365
1984,3771.0,,366
1985,2538.0,,363
1986,3590.0,,365
1987,3028.0,,364
1988,1856.0,,342
1989,3421.0,,365
1990,2453.0,,365
1991,3980.0,,365
1992,3356.0,,366
1993,5400.0,,365
1994,4762.0,,365
1995,4774.0,,365
1996,3872.0,,346
1997,4394.0,,364
1998,4854.0,,365
1999,4526.0,,365
2000,4719.0,,366
2001,4140.0,,365
2002,2329.0,,365
2003,4197.0,,365
2004,3199.0,,366
2005,5238.0,,365
2006,4079.0,,365
2007,3834.0,,365
2008,5772.0,,366
2009,4139.0,,364
2010,5276.0,,365
2011,5219.0,,365
2012,2687.0,,366
2013,5572.0,,365
2014,4681.0,,365
2015,4566.0,,365
2016,3877.0,,366
2017,3052.0,,365
2018,4117.0,,365
2019,5443.0,,365
2020,2655.0,,363
2021,3071.0,,365
2022,4389.0,,365
2023,3708.0,,365
2024,2206.0,,253
