DATE,PRCP,TMAX,NROWS
1949,2739.0,,122
1950,10903.0,,365
1951,11224.0,,365
1952,12040.0,,366
1953,10321.0,,365
1954,13367.0,,365
1955,10493.0,,365
1956,12914.0,,366
1957,10114.0,,365
1958,10475.0,,365
1959,11707.0,,365
1960,10989.0,,366
1961,12535.0,,365
1962,10511.0,,365
1963,9646.0,,365
1964,11636.0,,366
1965,9323.0,,365
1966,8841.0,,365
1967,10638.0,,365
1968,7456.0,,274
1969,11212.0,,365
1970,12461.0,,365
1971,12515.0,,365
1972,13262.0,45.774193548387096,366
1973,10634.0,,365
1974,10077.0,,362
1975,12398.0,,365
1976,10055.0,,363
1977,9073.0,,362
1978,9599.0,,362
1979,11417.0,,364
1980,8801.0,,364
1981,10246.0,,365
1982,7524.0,,360
1983,9346.0,,355
1984,9123.0,,348
1985,10490.0,,353
1986,8588.0,,350
1987,9049.0,,347
1988,9304.0,,353
1989,10422.0,,362
1990,11320.0,,351
1991,7513.0,,365
1992,8524.0,,360
1993,11964.0,,363
1994,11029.0,,365
1995,9481.0,,333
1996,12963.0,,305
1997,11610.0,,364
1998,9631.0,,364
1999,9821.0,,365
2000,11545.0,,363
2001,9641.0,,365
2002,12488.0,,365
2003,13895.0,,365
2004,13053.0,,366
2005,10783.0,,365
2006,11515.0,,365
2007,12712.0,,365
2008,13005.0,,366
2009,10153.0,,365
2010,10085.0,,365
2011,14951.0,,365
2012,12576.0,,366
2013,11243.0,,365
2014,11159.0,,365
2015,12876.0,,365
2016,10907.0,,366
2017,14686.0,,365
2018,17680.0,,365
2019,13123.0,,365
2020,12792.0,,366
2021,11280.0,,365
2022,11768.0,,365
2023,10162.0,,365
2024,10009.0,,297
