DATE,PRCP,TMAX,NROWS
1948,4038.0,,122
1949,12190.0,,365
1950,9696.0,,334
1951,10254.0,,362
1952,11120.0,,365
1953,10050.0,,365
1954,9865.0,,365
1955,9630.0,,362
1956,11048.0,,364
1957,14212.0,,364
1958,11822.0,,365
1959,13636.0,,363
1960,12545.0,,362
1961,11585.0,,335
1962,12273.0,,365
1963,10208.0,,365
1964,15922.0,,366
1965,10456.0,,365
1966,11547.0,,365
1967,11659.0,,365
1968,10600.0,,366
1969,10901.0,,365
1970,10334.0,,365
1971,14162.0,,365
1972,12750.0,,365
1973,12468.0,-178.0,334
1974,12527.0,,365
1975,13802.0,,365
1976,12106.0,,366
1977,12305.0,,365
1978,11564.0,,365
1979,14617.0,,365
1980,11463.0,,366
1981,11836.0,,365
1982,10545.0,,365
1983,13670.0,,365
1984,11037.0,,366
1985,11978.0,,365
1986,9283.0,,364
1987,12534.0,,365
1988,8418.0,,366
1989,14658.0,,365
1990,13354.0,,365
1991,13554.0,,365
1992,13424.0,,366
1993,10611.0,,365
1994,11667.0,,334
1995,10172.0,,364
1996,12308.0,,366
1997,12766.0,,365
1998,10653.0,,365
1999,8822.0,,365
2000,7647.0,,366
2001,9067.0,,359
2002,10034.0,,359
2003,14194.0,,361
2004,11505.0,,366
2005,10148.0,,357
2006,8890.0,,356
2007,5627.0,,339
2008,6648.0,,332
2009,12469.0,,354
2010,10259.0,,364
2011,9999.0,,96
2012,7326.0,,301
2013,11881.0,,342
2014,9045.0,,353
2015,10600.0,,344
2016,6971.0,,353
2017,10341.0,,351
2018,10461.0,,332
2019,11546.0,,346
2020,17020.0,,350
2021,7018.0,,348
2022,8849.0,,333
2023,9670.0,,346
2024,12356.0,,289
