DATE,PRCP,TMAX,NROWS,MULT
2000,11455.0,,366,1.0
2001,9561.0,,365,0.8346573548668703
2002,10062.0,,365,1.0524003765296517
2003,11285.0,,365,1.1215464122440866
2004,11543.0,,335,1.0228622064687638
2005,10008.0,,365,0.8670189725374686
2006,10249.0,,365,1.0240807354116708
2007,8653.0,,334,0.8442774904868767
2008,9772.0,,335,1.1293193112215416
2009,8312.0,,337,0.8505935325419566
2010,9833.0,,365,1.1829884504331087
2011,15671.0,,359,1.593715041187837
2012,10173.0,,361,0.6491608703975497
2013,10147.0,,362,0.9974442150791311
2014,8798.0,,364,0.8670543017640682
2015,9468.0,,357,1.0761536712889292
2016,8961.0,,366,0.9464512040557668
2017,10783.0,,363,1.2033255217051668
2018,12413.0,,341,1.1511638690531392
2019,12771.0,,364,1.0288407314911785
2020,9801.0,,366,0.7674418604651163
2021,9328.0,,365,0.9517396184062851
2022,10850.0,,365,1.163164665523156
2023,8161.0,,365,0.7521658986175115
