DATE,PRCP,NROWS
1981,7854.0,306
1982,7781.0,363
1983,13020.0,364
1984,11305.0,366
1985,5703.0,363
1986,10503.0,364
1987,7973.0,362
1988,10011.0,364
1989,7549.0,362
1990,12237.0,359
1991,9957.0,363
1992,10373.0,363
1993,9395.0,363
1994,11184.0,365
1995,14155.0,365
1996,10208.0,361
1997,13823.0,365
1998,10420.0,365
1999,7640.0,365
2000,3913.0,336
2001,7540.0,365
2002,4897.0,361
2003,8175.0,365
2004,7816.0,365
2005,6682.0,365
2006,10462.0,364
2007,10609.0,361
2008,5273.0,267
2009,6681.0,194
2010,6808.0,200
2011,5022.0,181
2012,5900.0,153
2013,4992.0,187
2014,10795.0,311
2015,11554.0,363
2016,14004.0,358
2017,11538.0,357
2018,12540.0,365
2019,9276.0,365
2020,14513.0,366
2021,13356.0,365
2022,10248.0,365
2023,9838.0,365
2024,4873.0,119
