DATE,PRCP,NROWS
1986,891.0,123
1987,2921.0,183
1988,3089.0,245
1989,2800.0,301
1990,3362.0,275
1991,3911.0,214
1992,2063.0,153
1993,4062.0,214
1994,3795.0,214
1995,4099.0,214
1996,1405.0,89
1997,3022.0,184
1998,2567.0,214
1999,3303.0,214
2000,2868.0,245
2001,1607.0,219
2002,2516.0,195
2003,2495.0,211
2004,4703.0,214
2005,3629.0,214
2006,5473.0,214
2007,4021.0,214
2008,1477.0,59
2009,2148.0,75
2010,3073.0,50
2011,1764.0,40
2012,3054.0,55
2013,1522.0,38
2014,1283.0,34
2015,3362.0,98
2016,2598.0,93
2017,2154.0,105
2018,2196.0,85
2019,2477.0,109
2020,2881.0,93
2021,1948.0,51
2022,2292.0,54
2023,1947.0,52
