DATE,PRCP,NROWS
1992,7390.0,223
1993,12408.0,365
1994,14965.0,364
1995,17392.0,365
1996,17691.0,366
1997,18484.0,365
1998,15979.0,365
1999,14919.0,334
2000,13764.0,366
2001,14987.0,365
2002,12379.0,363
2003,15341.0,365
2004,14999.0,366
2005,12041.0,334
2006,15975.0,303
2007,19422.0,364
2008,10536.0,245
2009,3952.0,91
2010,17329.0,364
2011,15898.0,364
2012,5070.0,90
2013,1664.0,29
2017,5422.0,76
2018,20433.0,252
2019,13433.0,249
2020,19028.0,303
2021,17199.0,280
2022,14676.0,354
2023,13829.0,365
2024,7136.0,116
