DATE,PRCP,TMAX,TMIN,NROWS,MULT
2000,11274.0,114.44903581267218,20.6027397260274,366,1.0
2001,7834.0,136.80440771349862,45.09615384615385,365,0.694873159481994
2002,9046.0,129.5718232044199,44.66573816155989,365,1.154710237426602
2003,10957.0,117.65277777777776,30.08264462809917,365,1.211253592748176
2004,11495.0,119.32960893854748,28.20833333333333,366,1.049101031304189
2005,11136.0,128.76731301939057,36.98347107438016,365,0.9687690300130491
2006,11271.0,134.08587257617728,46.06353591160221,365,1.0121228448275863
2007,9064.0,126.57534246575342,31.28767123287671,365,0.8041877384437938
2008,11789.0,120.12295081967213,33.89071038251366,366,1.300639894086496
2009,10428.0,117.43801652892562,26.666666666666668,363,0.8845533972347103
2010,11286.0,132.95054945054946,48.5989010989011,364,1.0822784810126582
2011,12011.0,131.21212121212122,45.04132231404959,363,1.0642388800283538
2012,7722.0,138.75346260387812,49.822714681440445,361,0.6429106652235451
2013,9867.0,117.65753424657534,31.54794520547945,365,1.2777777777777777
2014,9534.0,108.01652892561984,18.07162534435262,363,0.9662511401641837
2015,9870.0,120.9504132231405,30.867768595041323,363,1.0352422907488987
2016,8586.0,131.2568306010929,36.27595628415301,366,0.8699088145896656
2017,13131.0,121.43454038997214,43.583333333333336,360,1.529350104821803
2018,9756.0,120.76712328767124,32.61643835616438,365,0.7429746401644962
2019,10957.0,114.47945205479452,16.986301369863014,365,1.1231037310373104
2020,10296.0,130.71038251366122,42.57534246575342,366,0.939673268230355
2021,8148.0,129.6986301369863,42.95890410958904,365,0.7913752913752914
2022,11507.0,127.3013698630137,33.04109589041096,365,1.4122484045164458
2023,1160.0,-8.28125,-76.25,32,0.10080820370209438
