DATE,PRCP,NROWS
1750,2128.0,120
1899,4223.0,334
1900,5250.0,365
1901,5111.0,365
1902,3398.0,365
1903,4484.0,365
1904,3677.0,366
1905,4673.0,365
1906,6148.0,365
1907,4575.0,365
1908,3407.0,366
1909,5339.0,365
1910,5688.0,365
1911,6354.0,365
1912,3581.0,366
1913,4614.0,365
1914,4949.0,365
1915,2641.0,365
1916,8496.0,366
1917,6440.0,365
1918,3250.0,365
1919,2795.0,365
1920,5538.0,366
1921,5546.0,365
1922,2804.0,365
1923,2787.0,365
1924,5311.0,366
1925,7075.0,365
1926,4802.0,365
1927,3735.0,365
1928,5515.0,366
1929,3138.0,365
1930,4364.0,365
1931,6404.0,365
1932,4019.0,366
1933,5409.0,365
1934,5800.0,365
1935,3407.0,365
1936,5142.0,366
1937,3450.0,365
1938,3683.0,365
1939,4641.0,365
1940,3022.0,366
1941,3764.0,365
1942,5995.0,365
1943,4475.0,365
1944,3552.0,366
1945,5746.0,334
1946,2600.0,90
1947,5953.0,365
1948,4222.0,366
1949,4974.0,365
1950,10311.0,365
1951,3516.0,365
1952,5019.0,366
1953,3019.0,365
1954,4286.0,364
1955,8006.0,365
1956,9817.0,366
1957,2513.0,365
1958,5306.0,365
1959,5939.0,365
1960,4411.0,366
1961,5591.0,365
1962,4429.0,365
1963,6015.0,365
1964,4192.0,366
1965,2603.0,365
1966,4272.0,365
1967,2470.0,365
1968,4567.0,366
1969,7849.0,365
1970,4526.0,365
1971,6366.0,363
1972,4033.0,366
1973,8641.0,363
1974,6016.0,359
1975,4494.0,363
1976,6397.0,354
1977,4165.0,365
1978,7243.0,365
1979,3311.0,365
1980,3809.0,364
1981,5073.0,365
1982,1915.0,365
1983,6408.0,365
1984,6145.0,366
1985,4956.0,365
1986,4231.0,365
1987,4789.0,362
1988,6387.0,365
1989,6188.0,365
1990,7762.0,365
1991,4381.0,365
1992,6929.0,366
1993,6573.0,365
1994,3491.0,365
1995,4806.0,365
1996,6193.0,366
1997,4452.0,365
1998,6056.0,362
1999,6071.0,364
2000,6330.0,358
2001,4641.0,365
2002,3273.0,365
2003,4700.0,364
2004,4504.0,364
2005,5516.0,365
2006,2216.0,365
2007,6294.0,365
2008,4056.0,363
2009,4308.0,365
2010,9466.0,365
2011,5254.0,365
2012,5226.0,366
2013,3852.0,365
2014,4584.0,334
2015,6420.0,365
2016,8458.0,366
2017,4130.0,365
2018,2962.0,365
2019,1875.0,243
2020,6474.0,366
2021,9386.0,365
2022,9348.0,365
2023,3892.0,337
