DATE,PRCP,NROWS
1750,1898.0,157
1937,2556.0,365
1938,2732.0,365
1939,5027.0,365
1940,2261.0,366
1941,4386.0,365
1942,4217.0,365
1943,3607.0,365
1944,2787.0,366
1945,4004.0,365
1946,4384.0,365
1947,3523.0,365
1948,3016.0,366
1949,2444.0,365
1950,2521.0,365
1951,3387.0,365
1952,2686.0,366
1953,3902.0,365
1954,2045.0,365
1955,4307.0,365
1956,2935.0,366
1957,2872.0,365
1958,4111.0,365
1959,2606.0,365
1960,3495.0,366
1961,3358.0,365
1962,3289.0,365
1963,5697.0,365
1964,3499.0,366
1965,4302.0,365
1966,3447.0,365
1967,2770.0,365
1968,5264.0,366
1969,1907.0,365
1970,3425.0,365
1971,3368.0,365
1972,2098.0,365
1973,3455.0,365
1974,4414.0,365
1975,3352.0,365
1976,3350.0,366
1977,2276.0,365
1978,3518.0,365
1979,2829.0,363
1980,2510.0,366
1981,4032.0,365
1982,3274.0,365
1983,3870.0,365
1984,3650.0,366
1985,2774.0,365
1986,3928.0,365
1987,3128.0,365
1988,3876.0,366
1989,3160.0,365
1990,3698.0,364
1991,3512.0,365
1992,4118.0,366
1993,3892.0,365
1994,2084.0,365
1995,4368.0,365
1996,3824.0,366
1997,3360.0,365
1998,3318.0,365
1999,5254.0,365
2000,3234.0,366
2001,2834.0,365
2002,2439.0,365
2003,4204.0,365
2004,3178.0,366
2005,3404.0,365
2006,3864.0,365
2007,3586.0,365
2008,3030.0,366
2009,3401.0,365
2010,2008.0,365
2011,4378.0,365
2012,2928.0,366
2013,3146.0,365
2014,2528.0,365
2015,3200.0,365
2016,4000.0,366
2017,4274.0,365
2018,3400.0,365
2019,2202.0,365
2020,2832.0,366
2021,3980.0,363
2022,3582.0,360
2023,1772.0,363
