DATE,PRCP,TMAX,NROWS,MULT
2000,6209.0,,366,1.0
2001,6173.0,,362,0.9942019648896763
2002,5829.0,,365,0.9442734488903288
2003,6605.0,,365,1.1331274661176873
2004,6566.0,,366,0.9940953822861469
2005,6443.0,,365,0.9812671337191593
2006,7448.0,,365,1.1559832376222257
2007,9055.0,,364,1.2157626208378087
2008,10262.0,,366,1.133296521258973
2009,6613.0,,365,0.6444162931202495
2010,6845.0,,365,1.0350824134280963
2011,7586.0,,365,1.108254200146092
2012,4466.0,,366,0.5887160558924335
2013,7406.0,,365,1.658307210031348
2014,8475.0,,365,1.1443424250607614
2015,10151.0,,365,1.1977581120943952
2016,7160.0,,365,0.7053492266771747
2017,8470.0,,365,1.1829608938547487
2018,8528.0,,365,1.0068476977567886
2019,9192.0,,365,1.077861163227017
2020,6058.0,,366,0.6590513489991296
2021,7195.0,,365,1.1876857048530869
2022,5382.0,,365,0.7480194579569145
2023,5181.0,,365,0.9626532887402452
