DATE,PRCP,TMIN,NROWS
1961,3896,67.23835616438356,365
1962,5085,66.9945205479452,365
1963,5017,60.04383561643836,365
1964,4133,65.83060109289617,366
1965,5249,59.4986301369863,365
1966,6664,81.96164383561644,365
1967,3283,66.9972602739726,365
1968,4449,66.44535519125684,366
1969,5673,61.76986301369863,365
1970,3928,76.36164383561643,365
1971,4909,71.73424657534247,365
1972,5019,67.23770491803279,366
1973,3420,56.89041095890411,365
1974,4663,61.9013698630137,365
1975,3939,75.44931506849315,365
1976,4293,60.55464480874317,366
1977,3831,65.95890410958904,365
1978,4595,61.71780821917808,365
1979,4868,71.33424657534246,365
1980,6252,63.89617486338798,366
1981,4427,72.62465753424658,365
1982,2859,67.16438356164383,365
1983,2737,66.73424657534247,365
1984,4729,67.30054644808743,366
1985,3892,54.087671232876716,365
1986,3634,64.67397260273972,365
1987,4155,56.967123287671235,365
1988,6277,68.43715846994536,366
1989,4398,74.5041095890411,365
1990,3535,72.04109589041096,365
1991,4209,66.71780821917808,365
1992,4369,65.63934426229508,366
1993,4323,59.11232876712329,365
1994,2981,74.69589041095891,365
1995,4543,65.5041095890411,365
1996,5225,62.82513661202186,366
1997,7320,61.57808219178082,365
1998,5272,66.64931506849315,365
1999,6409,75.97808219178083,365
2000,3577,74.51092896174863,366
2001,4199,68.76986301369863,365
2002,4604,73.38082191780822,365
2003,3975,62.673972602739724,365
2004,6190,70.8360655737705,366
2005,6519,70.30958904109589,365
2006,4214,67.23013698630137,365
2007,5083,77.68767123287671,365
2008,4206,72.78415300546447,366
2009,4835,70.13698630136986,365
2010,6339,76.02739726027397,365
2011,3774,60.26301369863014,365
2012,5379,70.64754098360656,366
2013,5550,79.74520547945205,365
2014,6660,77.3890410958904,365
2015,5816,79.87397260273973,365
2016,5755,78.3224043715847,366
2017,6711,75.7095890410959,365
2018,4369,76.57534246575342,365
2019,2763,84.96438356164384,365
2020,3090,84.62841530054645,366
2021,4963,78.85479452054794,365
2022,2159,80.28493150684932,365
2023,5521,27.904109589041095,365
2024,1035,46.16447368421053,152
