DATE,PRCP,NROWS
1978,3489,306
1979,5136,245
1980,6026,366
1981,7195,365
1982,4906,365
1983,7878,365
1984,6093,366
1985,6333,365
1986,5530,334
1987,4697,334
1988,6189,366
1989,5665,365
1990,2751,180
1997,4986,365
1998,6539,365
1999,4997,365
2000,6116,366
2001,5597,365
2002,5257,365
2003,6202,365
2004,6313,366
2005,6285,365
2006,5411,365
2007,6003,365
2008,7340,366
2009,4272,365
2010,5008,365
2011,6879,365
2012,7171,366
2013,6029,365
2014,5657,365
2015,5893,365
2016,4722,324
2017,6715,365
2018,4778,365
2019,5607,361
2020,6251,366
2021,6709,363
2022,5758,365
2023,6668,361
2024,3520,236
