DATE,PRCP,NROWS
1980,43819,366
1981,31513,365
1982,36624,364
1983,29113,364
1984,30946,366
1985,34814,365
1986,36289,334
1987,26095,365
1988,39273,366
1989,29917,365
1990,36993,364
1991,32605,365
1992,32832,364
1993,38399,365
1994,31006,335
1995,35420,365
1996,34372,366
1997,33276,365
1998,23274,365
1999,45169,365
2000,42284,366
2001,37250,365
2002,35497,362
2003,28999,365
2004,37040,366
2005,32622,365
2006,30061,365
2007,43945,365
2008,40015,364
2009,31210,365
2010,12655,92
2011,32875,365
2012,38220,366
2013,39150,365
2014,34400,365
2015,24185,365
2016,30905,359
2017,36430,365
2018,28085,346
2019,41675,365
2020,40465,363
2021,31245,365
2022,26015,365
