DATE,PRCP,NROWS
1980,27674,366
1981,23961,365
1982,28246,365
1983,23040,365
1984,23802,366
1985,31617,365
1986,30562,365
1987,18028,365
1988,27715,366
1989,24102,365
1990,26860,365
1991,22526,364
1992,22156,366
1993,20579,365
1994,26445,365
1995,20985,365
1996,25156,336
1997,29548,333
1998,14530,364
1999,36512,365
2000,24666,366
2001,21446,365
2002,26239,365
2003,16649,346
2004,19612,358
2005,28900,358
2006,14479,292
2007,23412,336
2008,15938,321
2009,30870,365
2010,31230,365
2011,30190,365
2012,34240,358
2013,22710,365
2014,17495,365
2015,13760,365
2016,26465,343
2017,23480,364
2018,20420,137
2019,21055,330
2020,27890,366
2021,27055,365
2022,33800,317
