DATE,PRCP,NROWS,MULT
1950,3787.0,365,1.0
1951,2902.0,365,0.7663057829416424
1952,3371.0,366,1.1616126809097174
1953,2564.0,365,0.760605161673094
1954,3021.0,365,1.1782371294851794
1955,3661.0,365,1.2118503806686527
1956,5891.0,366,1.6091231903851406
1957,2491.0,365,0.4228484128331353
1958,3891.0,365,1.5620232838217583
1959,2654.0,365,0.6820868671292727
1960,2830.0,366,1.0663149962321026
1961,3503.0,365,1.237809187279152
1962,2963.0,365,0.8458464173565515
1963,2824.0,365,0.9530880863989201
1964,2174.0,366,0.7698300283286119
1965,2928.0,365,1.3468261269549218
1966,2743.0,365,0.9368169398907104
1967,1610.0,365,0.5869485964272694
1968,3004.0,366,1.8658385093167702
1969,5548.0,365,1.8468708388814914
1970,3871.0,365,0.6977289113193944
1971,3783.0,365,0.9772668561095325
1972,1733.0,366,0.45810203542162303
1973,8151.0,365,4.703404500865551
1974,7600.0,365,0.9324009324009324
1975,4128.0,365,0.5431578947368421
1976,2504.0,366,0.6065891472868217
1977,2705.0,365,1.0802715654952078
1978,4338.0,365,1.6036968576709796
1979,3235.0,365,0.7457353619179345
1980,3105.0,366,0.9598145285935085
1981,3910.0,365,1.2592592592592593
1982,1675.0,365,0.42838874680306904
1983,4125.0,365,2.462686567164179
1984,3628.0,366,0.8795151515151515
1985,2886.0,365,0.7954796030871003
1986,3349.0,365,1.1604296604296604
1987,3104.0,365,0.9268438339802926
1988,4512.0,366,1.4536082474226804
1989,4238.0,365,0.93927304964539
1990,3697.0,365,0.8723454459650779
1991,2351.0,334,0.6359210170408439
1992,4132.0,366,1.7575499787324542
1993,3490.0,365,0.8446272991287512
1994,2549.0,365,0.7303724928366763
1995,4412.0,365,1.7308748528834836
1996,3255.0,366,0.7377606527651859
1997,2436.0,365,0.7483870967741936
1998,3125.0,365,1.2828407224958949
1999,4684.0,365,1.49888
2000,4266.0,366,0.9107600341588385
2001,2091.0,365,0.490154711673699
2002,1627.0,365,0.7780966044954567
2003,3672.0,365,2.256914566687154
2004,2342.0,366,0.6377995642701525
2005,3036.0,365,1.296327924850555
2006,1704.0,364,0.5612648221343873
2007,3263.0,365,1.914906103286385
2008,2185.0,336,0.6696291756052712
2009,2440.0,306,1.1167048054919908
2010,4458.0,244,1.8270491803278688
2011,2406.0,215,0.5397039030955586
2012,3020.0,335,1.2551953449709061
2013,1628.0,276,0.5390728476821192
2014,1192.0,244,0.7321867321867321
2015,3207.0,348,2.690436241610738
2016,4791.0,366,1.4939195509822263
2017,3506.0,365,0.7317887706115633
2018,1651.0,364,0.47090701654306905
2019,1920.0,365,1.162931556632344
2020,3320.0,364,1.7291666666666667
