DATE,PRCP,NROWS
1915,5909,275
1916,2003,153
1919,26,1
1920,4340,366
1921,5279,365
1922,5386,365
1923,8060,365
1924,6985,366
1925,7222,365
1926,4992,365
1927,6414,365
1928,7475,366
1929,6449,365
1930,5843,365
1931,5332,365
1932,6181,366
1933,4278,365
1934,5711,365
1935,7271,365
1936,6240,366
1937,5028,365
1938,5375,365
1939,3653,365
1940,4611,366
1941,3938,337
1942,5829,365
1943,6059,365
1944,5453,336
1945,5471,365
1946,5126,365
1947,4630,365
1948,6863,366
1949,5880,365
1950,5603,365
1951,5018,365
1952,8148,366
1953,5978,365
1954,7596,365
1955,5685,365
1956,6094,366
1957,7286,365
1958,5302,365
1959,5205,365
1960,5620,366
1961,6347,365
1962,7555,365
1963,6032,365
1964,4233,366
1965,5341,365
1966,7422,365
1967,6826,365
1968,6580,366
1969,6508,365
1970,6368,365
1971,5750,365
1972,6443,366
1973,6577,365
1974,6311,365
1975,6016,365
1976,5372,366
1977,6770,365
1978,8405,365
1979,6776,365
1980,6539,366
1981,9303,365
1982,6972,365
1983,7893,365
1984,5849,366
1985,6219,306
1986,7603,365
1987,7649,365
1988,6872,366
1989,6415,365
1990,7861,365
1991,6992,365
1992,5817,366
1993,6652,365
1994,6412,365
1995,7088,365
1996,5284,366
1997,6798,365
1998,7940,365
1999,6313,365
2000,6536,366
2001,7580,365
2002,5627,365
2003,7580,365
2004,8088,366
2005,6443,365
2006,4762,365
2007,7155,365
2008,9552,366
2009,7366,365
2010,7494,365
2011,5926,365
2012,8544,366
2013,5658,365
2014,5964,365
2015,6115,365
2016,8305,366
2017,6904,365
2018,4310,364
2019,6439,365
2020,8227,366
2021,6201,365
2022,5778,365
2023,6454,335
2024,3281,213
