Year,News,VAAC,Total
2012,8,0,8
2013,17,1,18
2014,4,0,4
2015,2,0,2
2016,3,0,3
2017,2,0,2
2018,2,0,2
2019,1,0,1
2020,1,0,1
2021,2,0,2
2022,2,0,2
2024,2,0,2
