Year,News,VAAC,Total
2010,1,0,1
2011,2,0,2
2012,1,0,1
2013,3,0,3
2016,2,1,3
2017,13,70,83
2018,26,277,303
2019,1,0,1
2020,1,0,1
2021,6,0,6
2022,14,0,14
2023,11,19,30
2024,9,19,28
