Year,News,VAAC,Total
2011,4,0,4
2012,8,0,8
2013,4,1,5
2014,6,0,6
2015,3,0,3
2016,1,0,1
2017,2,3,5
2018,2,3,5
2022,4,0,4
2023,29,70,99
2024,49,294,343
