Year,News,VAAC,Total
2009,2,0,2
2010,4,0,4
2011,2,0,2
2012,15,0,15
2013,22,0,22
2014,7,0,7
2015,9,0,9
2016,4,7,11
2017,7,24,31
2018,9,14,23
2019,3,0,3
2020,1,0,1
2022,8,0,8
2023,2,0,2
2024,8,16,24
