Year,News,VAAC,Total
2009,3,0,3
2010,1,0,1
2011,1,0,1
2012,9,0,9
2013,12,0,12
2014,43,0,43
2015,4,0,4
2016,6,0,6
2017,6,2,8
2018,8,1,9
2020,5,0,5
2021,1,0,1
2022,7,2,9
2023,7,1,8
