Year,News,VAAC,Total
2010,11,0,11
2013,45,186,231
2014,86,596,682
2015,83,205,288
2016,85,109,194
2017,59,651,710
2018,12,125,137
2019,8,26,34
2020,31,77,108
2021,44,124,168
2022,2,0,2
2023,0,2,2
