Year,News,VAAC,Total
2008,1,0,1
2009,2,0,2
2010,5,0,5
2011,7,0,7
2012,11,0,11
2013,2,0,2
2014,9,0,9
2016,2,0,2
2017,2,0,2
2019,4,0,4
2021,1,0,1
2022,3,0,3
2023,18,1,19
2024,18,44,62
