Year,News,VAAC,Total
2008,57,0,57
2009,33,0,33
2010,46,0,46
2011,14,0,14
2012,28,0,28
2013,12,0,12
2015,1,0,1
2017,0,2,2
2019,0,2,2
2021,1,0,1
2022,2,0,2
2023,1,0,1
