Year,News,VAAC,Total
2008,64,0,64
2009,55,0,55
2010,53,0,53
2011,64,0,64
2012,101,0,101
2013,69,0,69
2014,101,0,101
2015,61,0,61
2016,87,0,87
2017,56,0,56
2018,106,146,252
2019,4,0,4
2020,22,3,25
2021,84,6,90
2022,82,0,82
2023,63,0,63
2024,34,0,34
