Year,News,VAAC,Total
2010,1,0,1
2012,7,0,7
2013,2,0,2
2015,4,0,4
2016,39,0,39
2018,1,4,5
2019,1,2,3
2022,22,47,69
2023,1,0,1
2024,2,2,4
