Year,News,VAAC,Total
2008,3,0,3
2010,4,0,4
2012,18,0,18
2013,11,0,11
2014,1,0,1
2019,1,0,1
2020,1,0,1
2022,1,0,1
2023,1,0,1
2024,1,0,1
