Year,News,VAAC,Total
2008,4,0,4
2009,3,0,3
2010,9,0,9
2011,2,0,2
2012,12,0,12
2013,9,0,9
2014,9,0,9
2015,23,0,23
2016,51,322,373
2017,40,320,360
2018,35,472,507
2019,12,58,70
2020,14,0,14
2021,8,0,8
2022,12,3,15
