Year,News,VAAC,Total
2008,1,0,1
2009,3,0,3
2010,8,0,8
2011,11,0,11
2012,26,0,26
2013,86,0,86
2014,61,0,61
2015,5,0,5
2016,7,0,7
2017,15,0,15
2018,14,0,14
2019,46,6,52
2020,17,0,17
2021,38,2,40
2022,47,3,50
2023,55,1,56
2024,60,12,72
