Year,News,VAAC,Total
2008,1,0,1
2009,14,0,14
2010,2,0,2
2011,4,0,4
2012,3,0,3
2013,7,1,8
2014,27,0,27
2016,3,0,3
2018,33,212,245
2019,5,10,15
2020,10,0,10
2021,5,0,5
2022,10,0,10
2023,61,390,451
2024,7,6,13
