Year,News,VAAC,Total
2008,1,0,1
2011,14,0,14
2012,28,16,44
2013,31,24,55
2014,2,5,7
2015,15,1,16
2016,7,0,7
2017,1,0,1
2020,1,0,1
2023,10,0,10
2024,1,0,1
