Year,News,VAAC,Total
2008,7,0,7
2011,5,0,5
2012,11,0,11
2013,4,0,4
2014,5,0,5
2015,23,34,57
2016,14,0,14
2018,9,38,47
2019,1,0,1
2020,4,2,6
