Year,News,VAAC,Total
2008,1,0,1
2009,2,0,2
2010,5,0,5
2011,8,0,8
2012,6,0,6
2013,7,0,7
2014,14,0,14
2016,5,0,5
2017,29,83,112
2019,16,37,53
2020,3,0,3
2022,6,0,6
2023,3,0,3
2024,15,23,38
