Year,News,VAAC,Total
2011,7,0,7
2013,1,0,1
2014,38,0,38
2015,34,2,36
2016,9,0,9
2019,29,612,641
2020,25,669,694
2021,8,4,12
2022,4,0,4
2023,3,0,3
2024,1,0,1
