Year,News,VAAC,Total
2010,8,0,8
2011,16,0,16
2012,4,0,4
2014,1,0,1
2015,14,0,14
2016,44,42,86
2019,11,99,110
2020,1,1,2
2021,5,0,5
2023,8,0,8
