Year,News,VAAC,Total
2012,9,23,32
2013,52,29,81
2014,22,0,22
2015,14,0,14
2016,32,138,170
2017,7,32,39
2018,7,23,30
2019,8,148,156
2020,12,12,24
2021,5,6,11
2022,3,7,10
2024,3,6,9
