Year,News,VAAC,Total
2008,17,0,17
2009,5,0,5
2010,12,0,12
2011,17,0,17
2012,61,0,61
2013,18,2,20
2014,10,2,12
2015,23,0,23
2016,20,0,20
2017,55,4,59
2018,32,22,54
2019,13,0,13
2020,11,6,17
2021,5,0,5
2022,7,0,7
2023,7,0,7
2024,2,0,2
