Year,News,VAAC,Total
2008,1,0,1
2010,4,0,4
2012,5,0,5
2013,2,0,2
2014,1,0,1
2015,3,0,3
2016,5,0,5
2017,15,0,15
2018,3,0,3
2019,3,0,3
2020,4,0,4
2021,1,0,1
2022,9,0,9
2023,12,0,12
2024,13,0,13
