Year,News,VAAC,Total
2008,1,0,1
2010,2,0,2
2011,10,0,10
2012,4,0,4
2013,13,0,13
2019,1,0,1
2020,29,63,92
2021,48,12,60
2022,26,15,41
2023,16,0,16
2024,26,3,29
