Year,News,VAAC,Total
2008,1,0,1
2010,9,0,9
2011,15,0,15
2012,3,0,3
2014,2,0,2
2015,11,0,11
2016,18,12,30
2017,2,4,6
2020,4,0,4
2021,3,0,3
2022,12,20,32
2023,8,0,8
2024,5,0,5
