Year,News,VAAC,Total
2011,4,0,4
2012,10,0,10
2013,35,0,35
2015,15,0,15
2016,15,0,15
2017,1,0,1
2018,3,0,3
2020,14,23,37
2021,8,10,18
2022,4,22,26
