Year,News,VAAC,Total
2008,4,0,4
2009,5,0,5
2010,4,0,4
2011,3,0,3
2012,25,11,36
2013,24,0,24
2014,7,0,7
2015,4,0,4
2016,2,0,2
2017,3,6,9
2018,1,0,1
2019,1,14,15
2021,7,7,14
2022,4,0,4
2023,2,0,2
2024,2,2,4
