Year,News,VAAC,Total
2010,2,0,2
2011,7,0,7
2012,1,0,1
2014,3,0,3
2015,3,0,3
2016,2,0,2
2020,3,0,3
2021,15,0,15
2022,11,0,11
2024,5,0,5
