Year,News,VAAC,Total
2008,44,0,44
2009,38,0,38
2010,52,0,52
2011,53,0,53
2012,90,1,91
2013,55,35,90
2014,45,40,85
2015,72,0,72
2016,28,9,37
2017,25,136,161
2018,29,145,174
2019,34,279,313
2020,39,164,203
2021,53,402,455
2022,47,177,224
2023,1,1,2
2024,24,122,146
