Year,News,VAAC,Total
2009,1,0,1
2013,1,0,1
2015,1,0,1
2016,24,12,36
2017,20,27,47
2018,12,37,49
2019,26,577,603
2020,25,204,229
2021,15,587,602
2022,17,180,197
2023,1,0,1
