Year,News,VAAC,Total
2008,14,0,14
2009,13,0,13
2010,6,0,6
2011,15,0,15
2012,21,0,21
2013,3,0,3
2014,3,1,4
2015,5,0,5
2017,6,0,6
2018,57,287,344
2019,57,104,161
2020,17,31,48
2021,9,10,19
2022,50,153,203
2023,57,128,185
2024,1,0,1
