Year,News,VAAC,Total
2013,12,0,12
2014,25,0,25
2015,9,0,9
2016,3,0,3
2017,7,0,7
2018,2,0,2
2019,2,0,2
2020,34,149,183
2021,4,8,12
2022,12,49,61
2023,10,9,19
2024,3,0,3
