Year,News,VAAC,Total
2008,3,0,3
2009,6,0,6
2010,6,0,6
2011,8,0,8
2012,6,0,6
2013,8,0,8
2014,6,0,6
2015,32,0,32
2016,9,0,9
2017,1,0,1
2018,4,4,8
2019,38,39,77
2020,9,0,9
2021,3,5,8
2022,2,0,2
2023,45,79,124
2024,4,0,4
